Exchange Date,Close,Adjusted Close,Net,%Chg,Open,Low,High,Volume
9/8/2023,445.52,,0.67,0.15%,444.9,444.53,447.11,62068437
9/7/2023,444.85,,-1.37,-0.31%,443.11,442.75,445.55,70355426
9/6/2023,446.22,,-3.02,-0.67%,448.4,443.81,448.51,70758512
9/5/2023,449.24,,-1.95,-0.43%,450.73,449.17,451.06,55166210
9/4/2023,,,,,,,,
9/1/2023,451.19,,0.84,0.19%,453.17,449.68,453.67,58944098
8/31/2023,450.35,,-0.66,-0.15%,451.65,450.16,452.83,66084563
8/30/2023,451.01,,1.85,0.41%,449.51,448.78,451.67,69053911
8/29/2023,449.16,,6.4,1.45%,442.65,442.46,449.45,83081916
8/28/2023,442.76,,2.79,0.63%,442.24,439.9728,443.4,61595393
8/25/2023,439.97,,3.08,0.70%,438.68,435,441.3,102325103
8/24/2023,436.89,,-6.14,-1.39%,444.69,436.855,445.22,88517272
8/23/2023,443.03,,4.88,1.11%,439.25,439.1,443.67,68441021
8/22/2023,438.15,,-1.19,-0.27%,441.18,437.57,441.18,65062861
8/21/2023,439.34,,2.84,0.65%,437.55,435.32,440.11,68718957
8/18/2023,436.5,,0.21,0.05%,433.37,433.01,437.57,98851960
8/17/2023,436.29,,-3.35,-0.76%,441.16,435.75,441.43,95711315
8/16/2023,439.64,,-3.25,-0.73%,442.46,439.53,444.18,80107206
8/15/2023,442.89,,-5.22,-1.16%,446.27,442.3,446.64,75707534
8/14/2023,448.11,,2.46,0.55%,444.7,444.38,448.11,47867441
8/11/2023,445.65,,-0.26,-0.06%,443.97,443.345,446.7007,68690902
8/10/2023,445.91,,0.16,0.04%,448.19,444.7,451.7,93005495
8/9/2023,445.75,,-3,-0.67%,449.03,444.96,449.1999,78789575
8/8/2023,448.75,,-1.96,-0.43%,448.08,445.2705,450.6952,71361324
8/7/2023,450.71,,3.9,0.87%,448.71,447.99,450.865,58357464
8/4/2023,446.81,,-2.03,-0.45%,450.72,446.27,452.895,100128902
8/3/2023,448.84,,-1.29,-0.29%,448.04,447.37,450.79,64419692
8/2/2023,450.13,,-6.35,-1.39%,453.25,449.3499,453.52,93933369
8/1/2023,456.48,,-1.31,-0.29%,456.27,455.49,457.25,55502199
7/31/2023,457.79,,0.87,0.19%,457.41,456.045,458.16,62040449
7/28/2023,456.92,,4.43,0.98%,455.88,452.4918,457.78,80011790
7/27/2023,452.49,,-3.02,-0.66%,459.02,451.55,459.44,92194375
7/26/2023,455.51,,0.07,0.02%,454.47,453.38,456.99,71052885
7/25/2023,455.44,,1.24,0.27%,453.92,453.87,456.735,55191240
